pcode,admin1_name,admin2_name,population,final_severity,final_pin,adm1_pcode,chirps_value,chirps_rank,chirps_n,chirps_rp,imerg_value,imerg_rank,imerg_n,imerg_rp,era5_value,era5_rank,era5_n,era5_rp,seas5_jas_r,seas5_jas_pctile,seas5_jas_rp,seas5_aso_r,seas5_aso_pctile,seas5_aso_rp,asi_value,asi_rank,asi_n,asi_rp,vhi_value,vhi_rank,vhi_n,vhi_rp,rain_rp,veg_rp,conv_n
NE001001,Agadez,Aderbissinat,55243,1,0,NE001,30.014951705932617,3,46,15.666666666666666,119.20624609152856,18,29,1.6666666666666667,6.39606519,8,46,5.875,0.7958003842307945,35.55555555555556,2.7058823529411766,0.7523177652023725,37.77777777777778,2.5555555555555554,21.667,19,43,2.3157894736842106,0.528,21,43,2.0952380952380953,15.666666666666666,2.3157894736842106,1
NE001002,Agadez,Arlit,164268,1,0,NE001,11.35295295715332,8,46,5.875,74.498132453745,5,29,6.0,4.55412529,20,46,2.35,0.7326780326427199,73.33333333333333,1.3529411764705883,0.6980758400720892,73.33333333333333,1.3529411764705883,21.667,19,43,2.3157894736842106,0.528,21,43,2.0952380952380953,6.0,2.3157894736842106,2
NE001003,Agadez,Bilma,28052,1,0,NE001,3.0232584476470947,18,46,2.611111111111111,10.018785551784099,3,29,10.0,0.61362281,21,46,2.238095238095238,0.4920791975345938,46.666666666666664,2.090909090909091,0.4743003843920409,53.333333333333336,1.84,21.667,19,43,2.3157894736842106,0.528,21,43,2.0952380952380953,10.0,2.3157894736842106,1
NE001004,Agadez,Iferouane,51194,1,0,NE001,7.495733261108398,11,46,4.2727272727272725,27.93136272216189,11,29,2.727272727272727,1.369608883,19,46,2.473684210526316,0.6014101396060249,66.66666666666666,1.4838709677419355,0.5598385277410077,71.11111111111111,1.393939393939394,21.667,19,43,2.3157894736842106,0.528,21,43,2.0952380952380953,4.2727272727272725,2.3157894736842106,0
NE001005,Agadez,Ingall,81181,1,4984,NE001,23.22372055053711,4,46,11.75,166.99135625394445,11,29,2.727272727272727,8.98683462,16,46,2.9375,0.7427877547897217,55.55555555555556,1.7692307692307692,0.6768742307237922,62.22222222222222,1.5862068965517242,21.667,19,43,2.3157894736842106,0.528,21,43,2.0952380952380953,11.75,2.3157894736842106,1
NE001006,Agadez,Tchirozerine,382740,1,2750,NE001,20.71793556213379,4,46,11.75,148.91079924525857,19,29,1.5789473684210527,7.601667109999999,10,46,4.7,0.8301845510539604,42.22222222222222,2.3,0.7706666382475068,55.55555555555556,1.7692307692307692,21.667,19,43,2.3157894736842106,0.528,21,43,2.0952380952380953,11.75,2.3157894736842106,1
NE003004,Dosso,Dosso,828966,1,0,NE003,170.41705322265625,3,46,15.666666666666666,324.715723511816,3,29,10.0,70.44207990000001,2,46,23.5,0.7763693639093465,4.444444444444445,15.333333333333334,0.7017312501954119,15.555555555555555,5.75,2.029,30,43,1.4666666666666666,0.68,36,43,1.2222222222222223,15.666666666666666,1.4666666666666666,3
NE003007,Dosso,Loga,295434,1,11895,NE003,138.32862854003906,4,46,11.75,264.93877585757394,3,29,10.0,37.133949099999995,1,46,47.0,0.669839315444157,2.2222222222222223,23.0,0.6110592829995172,11.11111111111111,7.666666666666667,2.029,30,43,1.4666666666666666,0.68,36,43,1.2222222222222223,11.75,1.4666666666666666,3
NE003008,Dosso,Tibiri,454430,1,377,NE003,150.71055603027344,2,46,23.5,348.4562140453131,6,29,5.0,57.8960409,1,46,47.0,0.7247442034362199,6.666666666666667,11.5,0.6787597418165354,22.22222222222222,4.181818181818182,2.029,30,43,1.4666666666666666,0.68,36,43,1.2222222222222223,23.5,1.4666666666666666,3
NE004001,Maradi,Aguié,417524,1,4351,NE004,150.51910400390625,7,46,6.714285714285714,460.4958058563994,23,29,1.3043478260869565,43.6992322,1,46,47.0,0.6856152508644765,4.444444444444445,15.333333333333334,0.6989957387828656,24.444444444444443,3.8333333333333335,0.385,22,43,2.0,0.762,34,43,1.2941176470588236,6.714285714285714,2.0,2
NE004002,Maradi,Bermo,88723,1,42978,NE004,91.834716796875,10,46,4.7,236.26026476636423,7,29,4.285714285714286,27.501105730000003,4,46,11.75,0.6802134474701971,22.22222222222222,4.181818181818182,0.6689109257486694,31.11111111111111,3.066666666666667,0.385,22,43,2.0,0.762,34,43,1.2941176470588236,4.7,2.0,0
NE004003,Maradi,Dakoro,1070002,1,0,NE004,131.99176025390625,19,46,2.473684210526316,305.5662091195613,11,29,2.727272727272727,34.317164559999995,2,46,23.5,0.6473175800680503,15.555555555555555,5.75,0.6638685875609623,26.666666666666668,3.5384615384615383,0.385,22,43,2.0,0.762,34,43,1.2941176470588236,2.727272727272727,2.0,1
NE004004,Maradi,Gazaoua,272474,1,18010,NE004,155.78590393066406,6,46,7.833333333333333,438.2189233093389,17,29,1.7647058823529411,49.73932915,1,46,47.0,0.6768391297413777,6.666666666666667,11.5,0.6744069848263444,24.444444444444443,3.8333333333333335,0.385,22,43,2.0,0.762,34,43,1.2941176470588236,7.833333333333333,2.0,2
